anšuₓ,𒀲𒉺
sumuganₓ,𒀲𒉺
šakanₓ,𒀲𒉺
eme₆,𒀲𒊩
durₓ,𒀴𒀲
kunga₃,𒁇𒀭
kungi₃,𒁇𒀭
mul,𒀯
mulu,𒀯
munₓ,𒅲
nap₂,𒀯
suhub₂,𒋙𒀯
šuhub₂,𒋙𒀯
šun₂,𒀯
absin₃,𒀳
abšin₃,𒀳
apin,𒀳
apina,𒀳
bin,𒀳
engar,𒀳
engara,𒀳
ereš₄,𒀳
eriš₄,𒀳
pin,𒀳
ur₁₁,𒀳
uru₄,𒀳
uš₈,𒀳
wardu,𒀴
arad,𒀴
arda,𒀴
er₃,𒀴
erad,𒀴
eri₃,𒀴
eru,𒀴
erum,𒀴
ir₃,𒀴
irda,𒀴
...ki,𒀴
nintaₓ,𒀴
nintah₂,𒀴
nita₂,𒀴
nitah₂,𒀴
suburₓ,𒀴
subarrumₓ,𒀴
šubur₂,𒀴
urda,𒀴
urdu,𒀴
war₃,𒀴
galaₓ,𒍓
era,𒀴𒊏
arad₂,𒀵
er₁₁,𒀵
ge₂₄,𒀵
geme₃,𒀵
gereš₃,𒀵
giriš₃,𒀵
/ŋereš/,𒀵
ir₁₁,𒀵
kiraš,𒀵
nitaₓ,𒍑𒆪
urda₂,𒀵
urdu₂,𒀵
arkab₂,𒀶
arkabₓ,𒅁
ana₃,𒀸
as₃,𒀸
aš,𒀸
aša,𒀸
ašša,𒀸
aṣ₃,𒀸
az₃,𒀸
dal₃,𒀸
del,𒀸
dele,𒀸
deli,𒀸
deš₂,𒀸
dil,𒀸
dili,𒀸
diš₂,𒀸
eš₁₈,𒀹
eš₂₀,𒀸
ge₁₅,𒀸
geš₄,𒀸
in₆,𒀸
ina,𒀸
liri₂,𒀸
liru₂,𒀸
lirum₂,𒀸
makaš₂,𒀸
makkaš₂,𒀸
ram₂,𒀸
rim₅,𒀸
ru₃,𒀸
rum,𒀸
sagtag,𒀸
sagtak,𒀸
saŋtak,𒀸
salugub,𒀸
santa,𒀸
santag,𒀸
santak,𒀸
simed,𒀸
šup₂,𒀸
tal₃,𒀸
teš,𒀸
til₄,𒀸
ṭil,𒀸
zuₓ,𒍥
1(aš),𒀸
1(aš@c),𒀸
1(iku),𒀸
aš@c,𒀸
iku@c,𒀸
didli,𒀸𒀸
man₃,𒀸𒀸
min₅,𒀸𒀸
eš₆,𒀸𒀸𒀸
aski,𒀸𒄱𒄄
ašgi,𒋓𒄄
aš-šur,𒀸𒋩
eš₁₆,𒐺
šušur,𒀼
aš₉,𒑀
imin₃,𒑁
imina₃,𒀼𒀼𒀸
umun₉,𒀼𒀼𒀸
ussa₃,𒀼𒀼𒋰
ussu₃,𒑅
ia₉,𒀼𒋰
gašmu,𒀻
limmu₄,𒐽
limu₄,𒀼𒀸
kad₈,𒀽
šušur₂,𒀽
ulilₓ,𒀺
utaqaₓ,𒀺
uzalagₓ,𒀺
uzalakₓ,𒀺
bag₄,𒍧
sumₓ,𒍤𒆸
bag₃,𒁂
bak₃,𒁂
1(aš@t),𒀹
1(aš@t@c),𒀹
aš@t,𒀹
aš₁₁,𒀹
deš₅,𒀹
del₄,𒀹
dele₄,𒀹
dil₄,𒀹
dili₄,𒀹
ge₂₃,𒀹
iš₈,𒀹
sagtag₃,𒀹
sagtak₃,𒀹
saŋtak₃,𒀹
santa₃,𒀹
santag₃,𒀹
santak₃,𒀹
ubu,𒀹
upuₓ,𒀹
uzaglal,𒀹
1/2(iku),𒀹
ilimmu,𒑆
9(diš),𒑆
9(diš@c),𒑆
kad₆,𒍦
sib₃,𒍦
sip₃,𒍦
sum₅,𒍦
šib₄,𒍦
ṣib,𒍦
ṣibi,𒍦
ṣip,𒍦
ṣep,𒍦
zeb,𒍦
zib,𒍦
zip,𒍦
zub₂,𒍦
as₂,𒀾
asa₂,𒀾
aś,𒀾
aš₂,𒀾
aša₂,𒀾
aṣ₂,𒀾
az₂,𒀾
baeš,𒀾
baneš,𒀾
daš₃,𒀾
deššu,𒀾
taš₃,𒀾
ud₂,𒀾
udeššu,𒀾
ut₂,𒀾
utu₅,𒀾
imŋaŋaₓ,𒍩𒀀
imgagaₓ,𒍩𒀀
udraₓ,𒍩𒀀
ud₂-duru₅,𒍩𒀀
imgaga,𒍩𒀀𒀭
imŋaŋa,𒍩𒀀𒀭
kiraši,𒍩𒀀𒀭
lahra,𒍩𒀀𒀭
udra,𒍩𒀀𒀭
udru,𒍩𒀀𒀭
ulušin,𒍩𒀀𒀭
imgaga₃,𒍩𒀭
imŋaŋa₃,𒍩𒀭
kirašiₓ,𒍩𒀭𒈾
udra₃,𒍩𒀭
ulušin₃,𒍩𒀭
imgaga₂,𒍩𒀭𒈾
imŋaŋa₂,𒍩𒀭𒈾
udra₂,𒍩𒀭𒈾
ulušin₂,𒍩𒀭𒈾
ešgar,𒀾𒃼
banlimmu,𒀾𒌋
ašgab,𒀿
erib,𒀿
irib,𒀿
šigagu,𒀿
