Raw Archive Value,Count,Projects,Normalized Archive Value
Ch. 8 (Letters from Babylonia),20,saao-saa21,Uncertain (SAA Chapter)
Ch. 9 (Letters from Elam and Urarṭu),20,saao-saa21,Uncertain (SAA Chapter)
Ch. 3 (Epical Poetry in Praise of Assyrian Kings),18,"atae-huzirina, saao-saa03",Uncertain (SAA Chapter)
Archive N29,18,atae-stat2,Archive N29
"Kasr, Ištar Gate, in situ",18,,Uncertain
Ch. 6 (Letters from Dur-Šarruken),18,saao-saa01,Uncertain (SAA Chapter)
"Ch. 1 (Mušallim-Issar, Village Manager of the Chief Eunuch)",18,saao-saa06,Uncertain (SAA Chapter)
"Ch. 7 (Aplaya, 'Third Man' of Arda-Mullissi, Crown Prince)",18,saao-saa06,Uncertain (SAA Chapter)
"Ch. 18 (Urad-Ea and Nabu-zeru-iddina, Lamentation Priests)",18,saao-saa10,Uncertain (SAA Chapter)
Ch. 4 (Rituals in the Akitu House and in Temples of Ištar),18,saao-saa20,Uncertain (SAA Chapter)
024 - N 09 Archive,16,atae-stat2,Archive N9
"04 (Archive N9 (Mudammiq-Aššur, hundurayu))",16,atae-stat2,Archive N9
Archive N23,16,atae-stat2,Archive N23
041 - N 26 Archive,16,atae-stat2,Archive N26
15 (Archive N26),16,atae-stat2,Archive N26
016 - N 05 Archive,16,"atae-stat3, saao-saa12, saao-saas2",Archive N5
Ue XVIII 1,16,,Uncertain
"Arahtu-wall, at northwest corner of Imgur-Enlil",16,,Uncertain
Ch. 19 (Extispicy Reports - Varia (Reign of Assurbanipal)),16,saao-saa04,Uncertain (SAA Chapter)
Ch. 3 (Letters from Vassal Kings and Bit-Zamani),16,saao-saa05,Uncertain (SAA Chapter)
Ch. 12 (Dannaya),16,saao-saa06,Uncertain (SAA Chapter)
Ch. 6 (Various Financial Memoranda),16,saao-saa07,Uncertain (SAA Chapter)
Ch. 7 (Tablets and Writing Boards),16,saao-saa07,Uncertain (SAA Chapter)
Ch. 2 (Building Texts),16,saao-saa11,Uncertain (SAA Chapter)
Ch. 7 (Letters from Calah - Nergal-šarrani),16,saao-saa13,Uncertain (SAA Chapter)
"Ch. 3 (Ninuayu, King’s Eunuch)",16,saao-saa14,Uncertain (SAA Chapter)
Ch. 2 (Letters from Other Members of the Royal Family),16,saao-saa16,Uncertain (SAA Chapter)
Ch. 1 (Rituals in the Temple of Aššur),16,saao-saa20,Uncertain (SAA Chapter)
Ch. 4 (Letters to Gambulu and Raši),16,saao-saa21,Uncertain (SAA Chapter)
05 (Babylonian dockets),14,atae-ctn3,Uncertain
Ch. 2 (Elegaic and Other Poetry),14,"atae-huzirina, saao-saa03",Uncertain (SAA Chapter)
Ch. 6 (Royal Votive Donations and Gifts),14,"atae-huzirina, saao-saa12",Uncertain (SAA Chapter)
Archive N3 (Singers),14,atae-stat2,Archive N3
Ezida,14,,Uncertain
Ilšu-abūšu B,14,borsippa,Ilšu-abūšu Archive
Kudurrānu A,14,borsippa,Kudurrānu Archive
Ch. 12 (Letters from Nabu-dammiq),14,saao-saa01,Uncertain (SAA Chapter)
Ch. 7 (Letters from Gods),14,saao-saa03,Uncertain (SAA Chapter)
Ch. 17 (Extispicy Reports Concerning Other Military Affairs (Reign of Assurbanipal)),14,saao-saa04,Uncertain (SAA Chapter)
Ch. 14 (Military Queries (Reign of Assurbanipal)),14,saao-saa04,Uncertain (SAA Chapter)
Ch. 4 (Queries Relating to Elam and Ellipi (Reign of Esarhaddon)),14,saao-saa04,Uncertain (SAA Chapter)
Ch. 2 (Inurta-ila’i ),14,saao-saa06,Uncertain (SAA Chapter)
Ch. 1 (Lists of Court Personnel),14,saao-saa07,Uncertain (SAA Chapter)
Ch. 11 (Food Contributions from Officials),14,saao-saa07,Uncertain (SAA Chapter)
Ch. 13 (Munnabitu),14,saao-saa08,Uncertain (SAA Chapter)
Ch. 9 (Haruspices - varia),14,saao-saa10,Uncertain (SAA Chapter)
"Ch. 13 (Urad-Gula, Exorcist)",14,saao-saa10,Uncertain (SAA Chapter)
Ch. 7 (Private Votive Donations),14,saao-saa12,Uncertain (SAA Chapter)
Ch. 1 (Royal Letters - Letters from the King),14,saao-saa13,Uncertain (SAA Chapter)
Ch. 3 (Letters from Assur - Dadi),14,saao-saa13,Uncertain (SAA Chapter)
Ch. 12 (Letters from Nineveh - Varia),14,saao-saa13,Uncertain (SAA Chapter)
Ch. 2 (Royal Women),14,saao-saa14,Uncertain (SAA Chapter)
"Ch. 1 (Milki-nuri, Eunuch of the Queen)",14,saao-saa14,Uncertain (SAA Chapter)
Ch. 10 (Letters from Tubliaš),14,saao-saa17,Uncertain (SAA Chapter)
Ch. 1 (Letters from the King and the Crown Prince of Babylon),14,saao-saa18,Uncertain (SAA Chapter)
Ch. 7 (Letters from the Sealand),14,saao-saa18,Uncertain (SAA Chapter)
Ch. 7 (Letters from the King and the Crown Prince),14,saao-saa19,Uncertain (SAA Chapter)
Ch. 3 (Letters to Bel-ibni and the Sealanders),14,saao-saa21,Uncertain (SAA Chapter)
Kuyunjik,14,tcma-nineveh,Uncertain
03 (Archive N4 (Exorcists)),12,atae-stat2,Archive N4
026 - N 11 Archive,12,atae-stat2,Archive N11
06 (Archive N11 (Dadaya)),12,atae-stat2,Archive N11
029 - N 14 Archive,12,atae-stat2,Archive N14
08 (Archive N14 (Oilpressers)),12,atae-stat2,Archive N14
049 - N 34 Archive,12,atae-stat3,Archive N34
050 - N 35 Archive,12,atae-stat3,Archive N35
002 - Governor’s Palace,12,atae-tuszhan,Governor's Palace Archive
Ilšu-abūšu A /archive of the slave Balāṭu,12,borsippa,Ilšu-abūšu Archive
Archiv für Orientforschung,12,"cams-gkab, cmawro-sources",Uncertain
Library of Iqīša,12,cmawro-sources,Library of Iqīša
Ch. 11 (Letters from the Lower Khabur),12,saao-saa01,Uncertain (SAA Chapter)
Ch. 6 (Mystical and Cultic Explanatory Works),12,saao-saa03,Uncertain (SAA Chapter)
Ch. 15 (Exorcists - varia),12,saao-saa10,Uncertain (SAA Chapter)
"Ch. 6 (Letters from Dilbat, Larak and Nippur)",12,saao-saa17,Uncertain (SAA Chapter)
Ch. 1 (Letters from the King),12,saao-saa17,Uncertain (SAA Chapter)
Ch. 6 (Letters from Uruk),12,saao-saa18,Uncertain (SAA Chapter)
Ch. 2 (Letters from or Relating to Akkad and Cutha),12,saao-saa18,Uncertain (SAA Chapter)
Ch. 10 (Letters from the Northern and Northwestern Provinces),12,saao-saa19,Uncertain (SAA Chapter)
"002 - Building F, Room B",10,atae-durkatlimmu,Building F Archive
Archive N28,10,atae-stat2,Archive N28
22 (Unassignable Texts  (Real Estate Sales)),10,atae-stat2,Uncertain
23 (Unassignable Texts  (Divisions of Property and Donations)),10,atae-stat2,Uncertain
13 (Texte aus N 32),10,atae-stat3,Archive N32
"Kutha, unassigned",10,babcity,Uncertain
Ibnāya B,10,borsippa,Ibnāya Archive
Burning the Witches and Sending Them to the Netherworld: The Library Version,10,"cmawro-cmawr1, cmawro-sources",Uncertain
"Purchased by E.A.W.-Budge in Babylon, but registered as coming from Hillah",10,,Uncertain
Purchased from I. Géjou,10,,Uncertain
Ch. 5 (Royal Propaganda),10,saao-saa03,Uncertain (SAA Chapter)
Ch. 13 (Queries Relating to the Cult of Marduk (Reign of Assurbanipal)),10,saao-saa04,Uncertain (SAA Chapter)
Ch. 15 (Appointment and Medical Queries (Reign of Assurbanipal)),10,saao-saa04,Uncertain (SAA Chapter)
Ch. 2 (Lists of Lodgings for Officials),10,saao-saa07,Uncertain (SAA Chapter)
Ch. 3 (Oracle Reports to Assurbanipal),10,saao-saa09,Uncertain (SAA Chapter)
"Ch. 8 (Marduk-šumu-uṣur, Chief Haruspex)",10,saao-saa10,Uncertain (SAA Chapter)
Ch. 10 (Letters from Arbela - Aššur-hamatu’a),10,saao-saa13,Uncertain (SAA Chapter)
"Ch. 15 (Letters from Various Locations - Kurba’il, Harran, Kilizi, etc)",10,saao-saa13,Uncertain (SAA Chapter)
"Ch. 4 (Letters from Assur - Sin-na’di, Mayor of Assur)",10,saao-saa13,Uncertain (SAA Chapter)
Ch. 5 (Rituals for Singers),10,saao-saa20,Uncertain (SAA Chapter)
01 (Archive N1 (Aššur Temple)),8,atae-stat2,Archive N1
"Archive N9 (Mudammiq-Aššur, hundurayu)",8,atae-stat2,Archive N9
039 - N 24 Archive,8,atae-stat2,Archive N24
13 (Archive N24 (Architects)),8,atae-stat2,Archive N24
Archive N26,8,atae-stat2,Archive N26
20 (Archive N32 (Tanners)),8,atae-stat2,Archive N32
26 (Unassignable Texts  (Judicial Documents)),8,atae-stat2,Uncertain
27 (Unassignable Texts  (Letters)),8,atae-stat2,Uncertain
021 - N 06 Archive,8,"atae-stat3, saao-saa03",Archive N6
022 - N 07 Archive,8,"atae-stat3, saao-saa20",Archive N7
"Sippar, unassigned",8,babcity,Uncertain
Šaddinnu/periphery of the Bēliya’u archive,8,borsippa,Bēliya’u Archive
Periphery of the Bēliya’u archive,8,borsippa,Bēliya’u Archive
U 18,8,,Uncertain
Archive N 2,8,cmawro-sources,Archive N2
Library N 6,8,cmawro-sources,Library N6
broken,8,,Uncertain
"Kasr, embankment, 20h",8,,Uncertain
Registered as coming from Sherif Khan,8,,Uncertain
Ch. 4 (Literary Letters),8,saao-saa03,Uncertain (SAA Chapter)
"Ch. 8 (Se’ -madi, Village Manager of the Crown Prince)",8,saao-saa06,Uncertain (SAA Chapter)
Ch. 4 (Lists of Female Personnel),8,saao-saa07,Uncertain (SAA Chapter)
Ch. 1 (Oracle Collections),8,saao-saa09,Uncertain (SAA Chapter)
Ch. 5 (Royal Appointments),8,saao-saa12,Uncertain (SAA Chapter)
Ch. 9 (Harem Manageresses),8,saao-saa14,Uncertain (SAA Chapter)
Ch. 12 (Private Archives),8,saao-saa14,Uncertain (SAA Chapter)
Ch. 9 (Letters from Nemed-Laguda),8,saao-saa17,Uncertain (SAA Chapter)
Ch. 12 (Letters from Babylonia),8,saao-saa19,Uncertain (SAA Chapter)
Ch. 11 (Records of Cultic Reforms and Events),8,saao-saa20,Uncertain (SAA Chapter)
Ch. 7 (Miscellany and Fragments),8,saao-saa20,Uncertain (SAA Chapter)
Ch. 6 (Rituals for Private Devotees),8,saao-saa20,Uncertain (SAA Chapter)
Ch. 7 (Letters from the King’s Brothers),8,saao-saa21,Uncertain (SAA Chapter)
M 02 Archive,8,"tcma-assur, tcma-laws",Archive M2
Ashurbanipal library,8,tcma-nineveh,Ashurbanipal Library
018 - Town Wall Palace,6,atae-ctn6,Town Wall Houses Archive
03 (Three Tablets from the Town Wall Palace),6,atae-ctn6,Town Wall Houses Archive
Archive N4 (Exorcists),6,atae-stat2,Archive N4
Archive N11 (Dadaya),6,atae-stat2,Archive N11
Archive N14 (Oilpressers),6,atae-stat2,Archive N14
14 (Texte aus N 34),6,atae-stat3,Archive N34
15 (Texte aus N 35),6,atae-stat3,Archive N35
Borsippa 7.2.2.1 (Ea-ilutu-bani),6,babcity,Ea-ilutu-bani Archive
Kutha 7.3.2 (Re’indu/Nergal-ušēzib),6,babcity,Re’indu/Nergal-ušēzib Archive
Uruk 7.13.1.1 (Eanna),6,babcity,Eanna Archive
Ahiya’ūtu,6,borsippa,Ahiya’ūtu Archive
Ch. 4 (Letters from Šabhanu),6,saao-saa17,Uncertain (SAA Chapter)
Ch. 2 (Reports on Royal Rituals in the Aššur Temple),6,saao-saa20,Uncertain (SAA Chapter)
Ch. 3 (Manuals for Chanters of the Aššur Temple),6,saao-saa20,Uncertain (SAA Chapter)
"Created and lemmatized by Greta Van Buylaere for the AHRC-funded Geography of Knowledge in Assyria and Babylonia: A Diachronic Analysis of Four Scholarly Libraries Project (GKAB), 2009, a sub-project of the Corpus of Ancient Mesopotamian Scholarship (CAMS) Project, directed by Eleanor Robson. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.",4,atae-huzirina,Uncertain (Modern Collection)
Archive N1 (Aššur Temple),4,atae-stat2,Archive N1
036 - N 21 Archive,4,atae-stat2,Archive N21
11 (Archive N21 (Doorkeepers)),4,atae-stat2,Archive N21
Archive N24 (Architects),4,atae-stat2,Archive N24
Archive N32 (Tanners),4,atae-stat2,Archive N32
05 (Texte aus N 5),4,atae-stat3,Archive N5
023 - N 08 Archive,4,atae-stat3,Archive N8
Nippur 7.10.2.4 (Murašû),4,babcity,Murašû Archive
Borsippa 7.2.3.4 (Belia’u),4,babcity,Bēliya’u Archive
Kutha 7.3.1 (Bēl-ikṣur),4,babcity,Bēl-ikṣur Archive
"Babylon, unassigned",4,babcity,Uncertain
Babylon 7.1.2.2 (Ea-eppēš-ilī A),4,babcity,Ea-eppēš-ilī Archive
Ilia D,4,borsippa,Ilia Archive
Šaddinnu/probably retro of the Bēliya’u archive,4,borsippa,Bēliya’u Archive
Ibnāya C,4,borsippa,Ibnāya Archive
"416 BCE? Probably Darius II (only LUGAL KUR.KUR) and all the archives are around Darius I, Xerxes, Artaxerexes I and Darius II.",4,cams-gkab,Uncertain (Modern Collection)
1985-6 season,4,,Uncertain
"U 18, Library of Šamaš-iddin",4,cmawro-sources,Library of Šamaš-iddin
Temple of Nabû,4,,Uncertain
Archive N 2 (?),4,cmawro-sources,Archive N2
secondary context,4,,Uncertain
Archive N 18,4,cmawro-sources,Archive N18
Library N 5,4,cmawro-sources,Library N5
Library N 4 (?),4,cmawro-sources,Library N4
"Saint Louis Public Library, St. Louis, Missouri, USA",4,"ribo-babylon7, ribo-sources",Uncertain (Modern Collection)
"Sahn 36y, wall north of the gate of the bridge",4,,Uncertain
Kasr,4,,Uncertain
"in the third phase of the foundation wall, in the northwest corner",4,,Uncertain
"Kasr 26w, in debris",4,,Uncertain
southern stretch of the embankment wall,4,,Uncertain
Purchased,4,,Uncertain
"Acquired by C.J. Rich, probably at Nebi Yunus",4,,Uncertain
"Institut de France, Archives manuscript 2976 sheet 353",4,rinap-sources,Uncertain (Modern Collection)
"Institut de France, Archives manuscript 2976 sheet 312",4,rinap-sources,Uncertain (Modern Collection)
"Institut de France, Archives manuscript 2976 sheet 338",4,rinap-sources,Uncertain (Modern Collection)
Ch. 1 (Treaties of the Ninth and Eighth Centuries B.C.),4,saao-saa02,Uncertain (SAA Chapter)
Ch. 2 (Oracle Reports to Esarhaddon),4,saao-saa09,Uncertain (SAA Chapter)
"006 - Northwest Palace, Room ZT 5",4,saao-saa19,Uncertain (North-West Palace Room)
"006 - Northwest Palace, Room ZT 10",4,saao-saa19,Uncertain (North-West Palace Room)
"006 - Northwest Palace, Room ZT 6 loose",4,saao-saa19,Uncertain (North-West Palace Room)
Ch. 10 (Royal Decrees),4,saao-saa20,Uncertain (SAA Chapter)
Lunar Six for SE 124. Tablet in the Morgan Library Collection at Yale University.,2,adsd-adart5,Uncertain (Modern Collection)
"An edition of this tablet by Farouk Al-Rawi and Norbert Roughton will appear in Archiv für Orientforschung. Therefore, only a transliteration and translation is included here.",2,adsd-adart5,Uncertain (Modern Collection)
Ashurbanipal Library Colophon a,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon b,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon c,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon d,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon e,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon l,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon m,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon q,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon i,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon f,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon h,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon o,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon t,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon BAK 338/339,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon BAK 324,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon n,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon u,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon BAK 337,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon k,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon BAK 336,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon k var,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon BAK 341,2,asbp-rlasb,Ashurbanipal Library
Ashurbanipal Library Colophon BAK 340,2,asbp-rlasb,Ashurbanipal Library
Archive N21 (Doorkeepers),2,atae-stat2,Archive N21
02 (Text aus N 1),2,atae-stat3,Archive N1
06 (Text aus N 6),2,atae-stat3,Archive N6
08 (Text aus N 8),2,atae-stat3,Archive N8
07 (Text aus N 7),2,atae-stat3,Archive N7
11 (Text aus N 29),2,atae-stat3,Archive N29
"Joannes,Archives de Borsippa 94 (Tr) and 325 (T)",2,babcity,Uncertain
"Joannes, Archives de Borsippa 113 (Tr) and 323(T)",2,babcity,Uncertain
Borsippa 7.2.3.11 (Ilia A),2,babcity,Ilia Archive
Sippar 7.11.1.1 (early Ebabbar),2,babcity,Ebabbar Archive
Borsippa 7.2.3.21 (Rē’i-alpi),2,babcity,Rē’i-alpi Archive
House of Incantation Priests,2,,Uncertain
Ilia A?,2,borsippa,Ilia Archive
Lā-kuppuru,2,borsippa,Lā-kuppuru Archive
Possibly Lā-kuppuru,2,borsippa,Lā-kuppuru Archive
Mannu-gērûšu,2,borsippa,Mannu-gērûšu Archive
Probably Ibnāya A,2,borsippa,Ibnāya Archive
Ibnāya D,2,borsippa,Ibnāya Archive
season 27 + season 29,2,,Uncertain
season 27 + season 30,2,,Uncertain
Secrets of Extispicy: the Chapter Multābiltu of the Babylonian Extispicy Series and Niṣirti bārûti Texts mainly from Aššurbanipal’s Library,2,cams-gkab,Uncertain (Modern Collection)
"418 BCE? Probably Darius II (only LUGAL KUR.KUR) and all the archives are around Darius I, Xerxes, Artaxerexes I and Darius II.",2,cams-gkab,Uncertain (Modern Collection)
"Rare Manuscript Collections, Cornell University Library, Ithaca, New York, USA",2,ccpo,Uncertain (Modern Collection)
"John Rylands Library, University of Manchester, Manchester, UK",2,ccpo,Uncertain (Modern Collection)
"Free Library of Philadelphia, Philadelphia, Pennsylvania, USA",2,ccpo,Uncertain
Burning the witches and sending them to the Netherworld: The library version,2,cmawro-cmawr1,Uncertain
"Dublalmah, south of main courtyard, room 6",2,,Uncertain
NT 12,2,,Uncertain
"SWP, Trench IV",2,,Uncertain
bit res archive; portion of storehouse in temple,2,hbtin,Resh Temple Library
Bit Res archive; gift of slave to temple,2,hbtin,Resh Temple Library
bit res archive; record of court hearing concerning slave,2,hbtin,Resh Temple Library
bit res archive; woman is party to transaction,2,hbtin,Resh Temple Library
: alu attikia sza ina muhhi nar isztar,2,,Uncertain
bit res archive,2,hbtin,Resh Temple Library
Uruk based on prosopography,2,,Uncertain
"British Museum, London, UK; Vorderasiatisches Museum, Berlin, Germany; National Museums Scotland, Edinburgh, Scotland, UK; de Liagre Böhl Collection, Netherlands Institute for the Near East, Leiden, Holland; Nies Babylonian Collection, Yale Babylonian Collection, New Haven, Connecticut, USA; Yale Babylonian Collection, New Haven, Connecticut, USA; Medelhavsmuseet, Stockholm, Sweden; John Rylands Library, University of Manchester, Manchester, UK; Arkeoloji Müzerleri, Istanbul, Turkey; Hearst Museum of Anthropology, University of California at Berkeley, Berkeley, California, USA; Oriental Institute, University of Chicago, Chicago, Illinois, USA; Metropolitan Museum of Art, New York, New York, USA",2,ribo-babylon7,Uncertain (Modern Collection)
"British Museum, London, UK; Yale Babylonian Collection, New Haven, Connecticut, USA; Nies Babylonian Collection, Yale Babylonian Collection, New Haven, Connecticut, USA; Free Library of Philadelphia, Philadelphia, Pennsylvania, USA; Musée d’Art et d’Histoire, Geneva, Switzerland",2,ribo-babylon7,Uncertain (Modern Collection)
"John Rylands Library, University of Manchester, Manchester, UK; Ashmolean Museum, Oxford, UK; British Museum, London, UK",2,ribo-babylon7,Uncertain (Modern Collection)
"Private collection: anonymous, Aleppo, Syria; J. Pierpont Morgan Library Collection, Yale Babylonian Collection, New Haven, Connecticut, USA",2,ribo-babylon7,Uncertain (Modern Collection)
"British Museum, London, UK; Musées royaux d’Art et d’Histoire, Brussels, Belgium; New York Public Library, New York, New York, USA; Hesburgh Library, University of Notre Dame, Notre Dame, Indiana, USA; Musée d’Art et d’Histoire, Geneva, Switzerland; Musée de Mariemont, Morlanwelz, Belgium; Karl-Marx-Universität, Leipzig, Germany; Carnegie Museum of Natural History, Pittsburgh, Pennsylvania, USA; Pontificio Istituto Biblico, Rome, Italy; Yale Babylonian Collection, New Haven, Connecticut, USA; Nies Babylonian Collection, Yale Babylonian Collection, New Haven, Connecticut, USA; Nationalmuseet, Copenhagen, Denmark; Rijksmuseum van Oudheden, Leiden, Holland; Gallery of Religious Art, American Baptist Assembly, Green Lake, Wisconsin, USA; Private collection: anonymous; Altorientalisches Seminar, Münster, Germany; Saint Louis Art Museum, St. Louis, Missouri, USA; Toledo Museum of Art, Toledo, Ohio, USA; Kunsthistorisches Museum, Vienna, Austria; Private collection: anonymous, Paris, France; Private collection: anonymous, Istanbul, Turkey; Private collection: anonymous, London, UK; John Rylands Library, University of Manchester, Manchester, UK; Newell Collections of Babylonian Tablets, Yale Babylonian Collection, New Haven, Connecticut, USA; . Pierpont Morgan Library Collection, Yale Babylonian Collection, New Haven, Connecticut, USA; Hearst Museum of Anthropology, University of California at Berkeley, Berkeley, California, USA; Royal Ontario Museum of Archaeology, Toronto, Ontario, Canada; Kestner Museum, Hannover, Germany; University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA",2,ribo-babylon7,Uncertain (Modern Collection)
"Kasr, niche in the long side",2,,Uncertain
"Qc XV 1, between the door of Room 14 and Staircase 16, south of Archive K",2,ribo-sources,Uncertain
Possibly the Kasr,2,,Uncertain
purchased from Babylon by Sir John Malcolm in ca. 1811,2,,Uncertain
"Kasr, South Palace",2,,Uncertain
"Kasr, processional street, at point 3",2,,Uncertain
western pillar of the Euphrates bridge,2,,Uncertain
"Kasr 23m, South Palace, fill",2,,Uncertain
"Kasr 27k, South Palace, top fill",2,,Uncertain
"Kasr 24h, South Palace",2,,Uncertain
"Kasr 26h-i, South Palace",2,,Uncertain
"Kasr 23n, South Palace, main courtyard, grave",2,,Uncertain
"southern part of Homera, surface",2,,Uncertain
western annex building,2,,Uncertain
river bank,2,,Uncertain
"Kasr 16t, Ishtar Gate",2,,Uncertain
picked up by a traveller in 1964,2,,Uncertain
"Merkes, street",2,,Uncertain
"Kasr 26k, South Palace",2,,Uncertain
"Ebabbar, library (Room 355)",2,ribo-sources,Ebabbar Library
"Kasr 24h, south slope",2,,Uncertain
"Kasr, South Palace, in fill of the vaulted building, 7.5 m below the surface of the Processional Way",2,,Uncertain
"Kasr, Südburg 22u, in rubble",2,,Uncertain
"Merkes, m1",2,,Uncertain
"Merkes, l2",2,,Uncertain
"Kasr, South Palace, in fill",2,,Uncertain
"Kasr, South Palace, eastern yard, close tothe inner gate, 10 m from the entrance, 2 m deep",2,,Uncertain
"Kasr, South Palace, in fill of the vaulted building",2,,Uncertain
"Kasr, ca. 35 m from the eastern corner of the wall of the South Palace, 2 m under the surface",2,,Uncertain
"Kasr, near the Ištar Gate",2,,Uncertain
"Ischin Aswad L27, Ninurta Temple, northwest corner of the courtyard, in front of the north tower",2,,Uncertain
"Ischin Aswad L27, Ninurta Temple, entrance of the south cella",2,,Uncertain
"Ischin Aswad L27, Ninurta Temple, northwest courtyard, in front of the entrance",2,,Uncertain
"Kasr, embankment",2,,Uncertain
"Ischin Aswad L27, Ninurta Temple, entrance of the north cella",2,,Uncertain
in the debris of the trench of the southern inner wall,2,,Uncertain
"foundation wall of the southern stretch of the inner city wall, near the gate, in situ",2,,Uncertain
Etemenanki,2,,Uncertain
"Kasr, in mud-brick box, inside the wall of the tower between the Ištar Gate and Emah",2,,Uncertain
"Kasr, in the foundation wall, east of a bastian of the Ištar Gate",2,,Uncertain
"in the foundation wall, north of the northern stretch of the inner city wall, in fill",2,,Uncertain
"in the foundation wall, north of the northern stretch of the inner city wall, in situ",2,,Uncertain
"Kasr, 23g",2,,Uncertain
"Imgur-Enlil, in the lining of the outer masonry, near the southeast corner",2,,Uncertain
"Kasr 27m, in debris",2,,Uncertain
"Kasr 26e, in debris",2,,Uncertain
in the embankment wall west of the Peribolos of Etemenanki,2,,Uncertain
"Tell Amran, surface",2,,Uncertain
"Ishin Aswad, surface",2,,Uncertain
"in the southern stretch of the embankment wall, near the southwest corner",2,,Uncertain
"southern inner wall, near the gate",2,,Uncertain
surface,2,,Uncertain
"BM 124818 (old Kuyunjik Gallery *48); old Kuyunjik Gallery *39; AOC 038; st EŞEM 09526; 1 R pl. 6 no. VIII A; Thompson, AAA 18 no. 17; Thompson, AAA 19 no. 261; Thompson, AAA 19 no. 262 (= no. 271); Gadd, Stones p. 94; Madhloom, Sumer 25 p. 48; J.M. Russell, Senn.'s Palace fig. 132; J.M. Russell, Writing on the Wall p. 127; Layard, ICC pl. 75 D; Layard, MS C fol. 79v no. 3; Institut de France, Archives MS 2976 sheet 353; RAH -; BM 139995 (1983-01-01, 0347)",2,rinap-rinap3,Uncertain (Modern Collection)
"BM 090209 (R 014); BM 090363 (1979-12-20, 0214); BM 090364 (R 024); BM 090365 (R 021); BM 090737 + BM 090771 (R 008); BM 090769 (R 011); BM 090772 (R 012); BM 090779 (R 013); BM 090782 (R 009); BCM 0337-079; VA Ass 3278 (Ass 19003); Furlani, RSO 15 pl. 1; Thompson, Arch, 79 no. 81; Thompson, Arch. 79 no. 93; Scott and MacGinnis, Iraq 52 pl. Xb; Institut de France, Archives MS 2976 sheet 337; King, Notebook p. 5; Institut de France, Archives MS 2976 sheet 312; Ist EŞEM 04666; Ist EŞEM 09006; Ist EŞEM 09168; MAF 57995; BM 137369 (1979-12-18, 0004); Ist EŞEM 09037",2,rinap-rinap3,Uncertain (Modern Collection)
"BM 090213 (1848-11-04, 0026); BM 090214 (1979-12-20, 0126); BM 090215 (1979-12-20, 0127); BM 090216 (1979-12-20, 0128); BM 090466 (1979-12-20, 0267); BM 090719 (R 022); BM 090745 (R 017); BM 090755 (R 019); BCM 0339-079; BCM 0340-079; HMA 9-01764; MAT 789 (formerly TO 2548); UM 32-22-006; Institut de France, Archives MS 2976 sheet 336; Layard, ICC pl. 82 B; Layard, ICC pl. 82 C; Thompson, Arch. 79 no. 77; Thompson, Arch. 79 no. 78; Thompson, Arch. 79 no. 84; Thompson, Arch. 79 no. 87; Thompson, Arch. 79 no. 88; Thompson, Arch. 79 no. 113; Thompson, Arch. 79 no. 118; Thompson, Arch. 79 no. 120; Thompson, Arch. 79 no. 121; Thompson, AAA 18 no. 47; Thompson, AAA 18 no. 53; Sumer 45 p. 97; King, Notebook; Layard, MS C fol. 67r; RAH -; Ist EŞEM 09205",2,rinap-rinap3,Uncertain (Modern Collection)
"BM 090371 (R 057); BM 090820 (1979-12-20, 0369); BM 137449 (Bu 1889-04-26, 0172); BM 137469 (1929-10-12, 0180); Institut de France, Archives MS 2976 sheet 339; Ist EŞEM 09038; BM 90449 (1979-12-20, 0256); Institut de France, Archives MS 2976 sheet 338",2,rinap-rinap3,Uncertain (Modern Collection)
Probably Uruk,2,,Uncertain
UM 32-22-005 was purchased by E.A.-Speiser in Assyria during the 1931-32 campaign to Tepe Gawra,2,,Uncertain
